SUB_CAUS-camp
Contexte Gauche;Occurrence_declencheur;Contexte Droit
, 9 mars 2017 , pourvoi n° 16 - 14.554 ) , la caisse d' assurance retraite et de la santé au travail de la Normandie ( la caisse ) ayant pris en compte , au titre de la période triennale de référence 2010 - 2012 ,;pour;la fixation de son taux brut individuel 2014 , un accident mortel survenu le 9 octobre 2009 et pris en charge au titre de la législation professionnelle le 5 janvier 2010 , la société [ 1 ] ( l' employeur ) a saisi d' un recours la Cour nationale de l' incapacité et de la tarification de l' assurance des accidents du travail ( la Cour nationale ) .    Moyens .
L' employeur fait grief à l' arrêt de le débouter de son recours , alors « que la valeur du risque;pour;"le calcul du taux brut individuel des cotisations d' accidents du travail et de maladies professionnelles comprend , notamment , le produit du nombre total d' accidents du travail ou de maladies professionnelles ayant , pendant la période triennale de référence , soit entraîné le décès de la victime , soit donné lieu à la notification d' un taux d' incapacité permanente , par le coût moyen de la catégorie dans laquelle est rattaché chaque accident ou chaque maladie ;"
qu' en considérant que l' accident mortel dont a été victime le salarié devait être pris en compte dans la valeur du risque servant de base au calcul du taux de cotisations de l' employeur;pour;l' exercice 2014 , dans la mesure où son caractère professionnel avait été reconnu le 5 Page 2 / 6 janvier 2010 , soit pendant la période triennale de référence courant du 1er janvier 2010 au 31 décembre 2013 , quand ne sont pris en compte dans la détermination de la valeur du risque que les accidents du travail ou maladies professionnelles ayant entraîné le décès de la victime durant la période triennale de référence , ce dont il résultait que devait en être exclu l' accident mortel litigieux survenu le 9 octobre 2009 , la Cour nationale a violé les articles D. 242 - 6 - 4 , alinéa 2 , et D. 242 - 6 - 6 , alinéa 1 , 2 ° , du code de la sécurité sociale .
Selon le second de ces textes , la valeur du risque telle que mentionnée au premier;pour;le calcul du taux brut individuel des cotisations d' accidents du travail comprend , notamment , le produit du nombre total d' accidents du travail ou de maladies professionnelles ayant , pendant la période triennale de référence , soit entraîné le décès de la victime , soit donné lieu à la notification d' un taux d' incapacité permanente , par le coût moyen de la catégorie dans laquelle est rattaché chaque accident ou maladie .
;Pour;débouter l' employeur de son recours , la Cour nationale retient essentiellement qu' une application littérale de l' article D. 242 - 6 - 6 , 2 ° , qui aboutirait à prendre en compte les accidents du travail et maladies professionnelles mortels l' année de leur survenance pour la valeur du risque alors qu' ils sont classés dans l' une des catégories prévues l' année de la reconnaissance de leur caractère professionnel , serait source de complications pour les caisses , facteur d' insécurité pour les entreprises et générateur de contentieux .
Pour débouter l' employeur de son recours , la Cour nationale retient essentiellement qu' une application littérale de l' article D. 242 - 6 - 6 , 2 ° , qui aboutirait à prendre en compte les accidents du travail et maladies professionnelles mortels l' année de leur survenance;pour;la valeur du risque alors qu' ils sont classés dans l' une des catégories prévues l' année de la reconnaissance de leur caractère professionnel , serait source de complications pour les caisses , facteur d' insécurité pour les entreprises et générateur de contentieux .
Pour débouter l' employeur de son recours , la Cour nationale retient essentiellement qu' une application littérale de l' article D. 242 - 6 - 6 , 2 ° , qui aboutirait à prendre en compte les accidents du travail et maladies professionnelles mortels l' année de leur survenance pour la valeur du risque alors qu' ils sont classés dans l' une des catégories prévues l' année de la reconnaissance de leur caractère professionnel , serait source de complications;pour;les caisses , facteur d' insécurité pour les entreprises et générateur de contentieux .
Pour débouter l' employeur de son recours , la Cour nationale retient essentiellement qu' une application littérale de l' article D. 242 - 6 - 6 , 2 ° , qui aboutirait à prendre en compte les accidents du travail et maladies professionnelles mortels l' année de leur survenance pour la valeur du risque alors qu' ils sont classés dans l' une des catégories prévues l' année de la reconnaissance de leur caractère professionnel , serait source de complications pour les caisses , facteur d' insécurité;pour;les entreprises et générateur de contentieux .
En statuant ainsi , alors qu' elle constatait que l' accident du travail survenu le 5 octobre 2009 n' avait pas entraîné le décès de la victime pendant la période triennale de référence prise en compte;pour;le calcul du taux individuel de l' année 2014 , la Cour nationale a violé par fausse interprétation les textes susvisés .
Il convient d' ordonner le retrait de l' accident mortel dont a été victime M. [ C ] de la période triennale 2010 - 2012 , correspondant à la période de référence;pour;le calcul du taux de cotisations de l' année 2014 , et de dire que la caisse d' assurance retraite et de la santé au travail de la Normandie devra procéder à la rectification du taux de cotisations de l' année 2014 .    Dispositif .
