SUB_TEMP-camp
Contexte Gauche;Occurrence_declencheur;Contexte Droit
Sur le rapport de Mme Dudit , conseiller référendaire , les observations de Me Haas , avocat de la société [ 1 ] , de la SCP Gatineau , Fattaccini et Rebeyrol , avocat de la caisse d' assurance retraite et de la santé au travail de Normandie , et;après;débats en l' audience publique du 15 septembre 2021 où étaient présents M. Pireyre , président , Mme Dudit , conseiller référendaire rapporteur , Mme Taillandier - Thomas , conseiller doyen , et Mme Aubagna , greffier de chambre , la deuxième chambre civile de la Cour de cassation , composée des président et conseillers précités , après en avoir délibéré conformément à la loi , a rendu le présent arrêt .
Sur le rapport de Mme Dudit , conseiller référendaire , les observations de Me Haas , avocat de la société [ 1 ] , de la SCP Gatineau , Fattaccini et Rebeyrol , avocat de la caisse d' assurance retraite et de la santé au travail de Normandie , et après débats en l' audience publique du 15 septembre 2021 où étaient présents M. Pireyre , président , Mme Dudit , conseiller référendaire rapporteur , Mme Taillandier - Thomas , conseiller doyen , et Mme Aubagna , greffier de chambre , la deuxième chambre civile de la Cour de cassation , composée des président et conseillers précités ,;après;en avoir délibéré conformément à la loi , a rendu le présent arrêt .   
Selon l' arrêt attaqué ( Cour nationale de l' incapacité et de la tarification de l' assurance des accidents du travail , 7 novembre 2019 ) , rendu sur renvoi;après;cassation ( 2e Civ .
L' employeur fait grief à l' arrêt de le débouter de son recours , alors « que la valeur du risque pour le calcul du taux brut individuel des cotisations d' accidents du travail et de maladies professionnelles comprend , notamment , le produit du nombre total d' accidents du travail ou de maladies professionnelles ayant ,;pendant;"la période triennale de référence , soit entraîné le décès de la victime , soit donné lieu à la notification d' un taux d' incapacité permanente , par le coût moyen de la catégorie dans laquelle est rattaché chaque accident ou chaque maladie ;"
qu' en considérant que l' accident mortel dont a été victime le salarié devait être pris en compte dans la valeur du risque servant de base au calcul du taux de cotisations de l' employeur pour l' exercice 2014 , dans la mesure où son caractère professionnel avait été reconnu le 5 Page 2 / 6 janvier 2010 , soit;pendant;la période triennale de référence courant du 1er janvier 2010 au 31 décembre 2013 , quand ne sont pris en compte dans la détermination de la valeur du risque que les accidents du travail ou maladies professionnelles ayant entraîné le décès de la victime durant la période triennale de référence , ce dont il résultait que devait en être exclu l' accident mortel litigieux survenu le 9 octobre 2009 , la Cour nationale a violé les articles D. 242 - 6 - 4 , alinéa 2 , et D. 242 - 6 - 6 , alinéa 1 , 2 ° , du code de la sécurité sociale .
qu' en considérant que l' accident mortel dont a été victime le salarié devait être pris en compte dans la valeur du risque servant de base au calcul du taux de cotisations de l' employeur pour l' exercice 2014 , dans la mesure où son caractère professionnel avait été reconnu le 5 Page 2 / 6 janvier 2010 , soit pendant la période triennale de référence courant du 1er janvier 2010 au 31 décembre 2013 ,;quand;ne sont pris en compte dans la détermination de la valeur du risque que les accidents du travail ou maladies professionnelles ayant entraîné le décès de la victime durant la période triennale de référence , ce dont il résultait que devait en être exclu l' accident mortel litigieux survenu le 9 octobre 2009 , la Cour nationale a violé les articles D. 242 - 6 - 4 , alinéa 2 , et D. 242 - 6 - 6 , alinéa 1 , 2 ° , du code de la sécurité sociale .
Selon le second de ces textes , la valeur du risque telle que mentionnée au premier pour le calcul du taux brut individuel des cotisations d' accidents du travail comprend , notamment , le produit du nombre total d' accidents du travail ou de maladies professionnelles ayant ,;pendant;la période triennale de référence , soit entraîné le décès de la victime , soit donné lieu à la notification d' un taux d' incapacité permanente , par le coût moyen de la catégorie dans laquelle est rattaché chaque accident ou maladie .
En statuant ainsi , alors qu' elle constatait que l' accident du travail survenu le 5 octobre 2009 n' avait pas entraîné le décès de la victime;pendant;la période triennale de référence prise en compte pour le calcul du taux individuel de l' année 2014 , la Cour nationale a violé par fausse interprétation les textes susvisés .
;Après;avis donné aux parties , conformément à l' article 1015 du code de procédure civile , il est fait application des articles L. 411 - 3 , alinéa 2 , du code de l' organisation judiciaire et 627 du code de procédure civile .
PAR CES MOTIFS , et sans qu' il y ait lieu de statuer sur les autres griefs du pourvoi , la Cour : CASSE ET ANNULE , sauf en ce qu' il déclare recevables la saisine;après;"cassation et le recours formé par la société [ 1 ] contre la décision de la caisse d' assurance retraite et de la santé au travail de la Normandie fixant son taux de cotisation pour l' exercice 2014 au titre de l' assurance des accidents du travail et maladies professionnelles , l' arrêt rendu le 7 novembre 2019 , entre les parties , par la Cour nationale de l' incapacité et de la tarification de l' assurance des accidents Page 3 / 6 du travail ; DIT n' y avoir lieu à renvoi ;"
qu' à cet égard , l' article D. 242 - 6 - 6 , 2 ° , du code de la sécurité sociale énonce que « la valeur du risque ( ) comprend ( ) le produit du nombre total d' accidents du travail ou de maladies professionnelles ayant ,;pendant;"la période triennale de référence , soit entraîné le décès de fa victime , soit donné lieu à la notification d' un taux d' incapacité permanente ( ) » ;"
que , cependant , il s' avère que l' économie générale de la matière veut que les caisses d' assurance retraite et de la santé au travail n' interviennent qu';après;"avoir reçu les informations des caisses primaires d' assurance maladie ;"
qu' il n' est donc pas exclu qu' au-delà de sa forme littérale , l' article D. 242 - 6 - 6 , 2 ° , du code de la sécurité sociale soit affecté d' une imperfection rédactionnelle et que ce soit par un raccourci de langage que ce texte évoque la période triennale de référence;pendant;"laquelle est intervenu le décès de la victime et non pas la période triennale de référence pendant laquelle le caractère professionnel du décès a été reconnu ;"
qu' il n' est donc pas exclu qu' au-delà de sa forme littérale , l' article D. 242 - 6 - 6 , 2 ° , du code de la sécurité sociale soit affecté d' une imperfection rédactionnelle et que ce soit par un raccourci de langage que ce texte évoque la période triennale de référence pendant laquelle est intervenu le décès de la victime et non pas la période triennale de référence;pendant;"laquelle le caractère professionnel du décès a été reconnu ;"
qu' il est en effet symptomatique que le même article , dans la même phrase , énonce que les accidents du travail et les maladies professionnelles non mortels sont pris en compte dans la valeur du risque «;lorsqu';"ils ont donné lieu à la notification d' un taux d' incapacité permanente » , ce qui suppose bien une décision préalable de la caisse ;"
qu' il convient également de remarquer qu' une application littérale de l' article D. 242 - 6 - 6 , 2 ° , du code de la sécurité sociale conduirait à faire prendre en compte par les caisses d' assurance retraite et de la santé au travail les décès ,;avant;"même qu' ils soient reconnus comme étant d' origine professionnelle ;"
qu' or , une telle solution serait évidemment source de complications , puisque , d' une part , on voit mal comment elles en seraient averties et puisque , d' autre part , une éventuelle absence de reconnaissance de caractère professionnel les obligerait , au bout d' un certain temps , au demeurant fort variable , à faire machine arrière et à rectifier leurs calculs , ce qui serait à la;fois;"facteur d' insécurité pour les entreprises et générateur de contentieux ;"
ALORS , 1 ° ) , QUE la valeur du risque pour le calcul du taux brut individuel des cotisations d' accidents du travail et de maladies professionnelles comprend , notamment , le produit du nombre total d' accidents du travail ou de maladies professionnelles ayant ,;pendant;"la période triennale de référence , soit entraîné le décès de la victime , soit donné lieu à la notification d' un taux d' incapacité permanente , par le coût moyen de la catégorie dans laquelle est rattaché chaque accident ou chaque maladie ;"
qu' en considérant que l' accident mortel dont a été victime M. [ C ] devait être pris en compte dans la valeur du risque servant de base au calcul du taux de cotisations de l' employeur pour l' exercice 2014 , dans la mesure où son caractère professionnel avait été reconnu le 5 janvier 2010 , soit;pendant;"la période triennale de référence courant du 1er janvier 2010 au 31 décembre 2013 , quand ne sont pris en compte dans la détermination de la valeur du risque que les accidents du travail ou maladies professionnelles ayant entraîné le décès de la victime durant la période triennale de référence , ce dont il résultait que devait en être exclu l' accident mortel litigieux survenu le 9 octobre 2009 , la Cour nationale a violé les articles D. 242 - 6 - 4 , alinéa 2 , et D. 242 - 6 - 6 , alinéa 1er , 2 ° , du code de la sécurité sociale ;"
qu' en considérant que l' accident mortel dont a été victime M. [ C ] devait être pris en compte dans la valeur du risque servant de base au calcul du taux de cotisations de l' employeur pour l' exercice 2014 , dans la mesure où son caractère professionnel avait été reconnu le 5 janvier 2010 , soit pendant la période triennale de référence courant du 1er janvier 2010 au 31 décembre 2013 ,;quand;"ne sont pris en compte dans la détermination de la valeur du risque que les accidents du travail ou maladies professionnelles ayant entraîné le décès de la victime durant la période triennale de référence , ce dont il résultait que devait en être exclu l' accident mortel litigieux survenu le 9 octobre 2009 , la Cour nationale a violé les articles D. 242 - 6 - 4 , alinéa 2 , et D. 242 - 6 - 6 , alinéa 1er , 2 ° , du code de la sécurité sociale ;"
n' était pas intervenue;pendant;"la période triennale de référence courant du 1er janvier 2010 au 31 décembre 2013 et servant de base au calcul du taux de cotisations de l' employeur pour l' exercice 2014 ;"
- Catherine André Eyrolles , de la SCP Thouvenin , Coudray et Grévy , avocat de Mme [ S]-[X ] ,;après;débats en l' audience publique du 18 octobre 2022 où étaient présents Mme Mariette , conseiller doyen faisant fonction de président , M. Seguy , conseiller rapporteur , Mme Le Lay , conseiller , et Mme Aubac , greffier de chambre , la chambre sociale de la Cour de cassation , composée des président et conseillers précités , après en avoir délibéré conformément à la loi , a rendu le présent arrêt .
- Catherine André Eyrolles , de la SCP Thouvenin , Coudray et Grévy , avocat de Mme [ S]-[X ] , après débats en l' audience publique du 18 octobre 2022 où étaient présents Mme Mariette , conseiller doyen faisant fonction de président , M. Seguy , conseiller rapporteur , Mme Le Lay , conseiller , et Mme Aubac , greffier de chambre , la chambre sociale de la Cour de cassation , composée des président et conseillers précités ,;après;en avoir délibéré conformément à la loi , a rendu le présent arrêt .   
;Après;avoir adhéré le 10 juillet 2015 au contrat de sécurisation professionnelle qui lui avait été proposé , elle a manifesté , le 30 juillet 2015 , la volonté d' user de la priorité de réembauche .
qu' en l' espèce , la société Eyrolles faisait valoir , dans ses écritures reprises oralement à l' audience , que le tableau de bord de l' office démontrait la chute des chiffres de l' entreprise ( baisse des produits et résultats d' exploitation );tandis que;"les charges d' exploitation avaient augmenté ;"
, ce n' est que;lorsque;"le juge a , à la requête d' une des parties , enjoint l' autre partie à produire un élément de preuve qu' il peut tirer toutes les conséquences d' une abstention ou d' un refus de production ;"
