VRB_FACT-camp
Contexte Gauche;Occurrence_declencheur;Contexte Droit
L' employeur fait grief à l' arrêt de le débouter de son recours , alors « que la valeur du risque pour le calcul du taux brut individuel des cotisations d' accidents du travail et de maladies professionnelles;comprend;", notamment , le produit du nombre total d' accidents du travail ou de maladies professionnelles ayant , pendant la période triennale de référence , soit entraîné le décès de la victime , soit donné lieu à la notification d' un taux d' incapacité permanente , par le coût moyen de la catégorie dans laquelle est rattaché chaque accident ou chaque maladie ;"
qu' en considérant que l' accident mortel dont a été victime le salarié devait être pris en compte dans la valeur du risque servant de base au calcul du taux de cotisations de l' employeur pour l' exercice 2014 , dans la mesure où son caractère professionnel avait été;reconnu;le 5 Page 2 / 6 janvier 2010 , soit pendant la période triennale de référence courant du 1er janvier 2010 au 31 décembre 2013 , quand ne sont pris en compte dans la détermination de la valeur du risque que les accidents du travail ou maladies professionnelles ayant entraîné le décès de la victime durant la période triennale de référence , ce dont il résultait que devait en être exclu l' accident mortel litigieux survenu le 9 octobre 2009 , la Cour nationale a violé les articles D. 242 - 6 - 4 , alinéa 2 , et D. 242 - 6 - 6 , alinéa 1 , 2 ° , du code de la sécurité sociale .
Selon le second de ces textes , la valeur du risque telle que mentionnée au premier pour le calcul du taux brut individuel des cotisations d' accidents du travail;comprend;, notamment , le produit du nombre total d' accidents du travail ou de maladies professionnelles ayant , pendant la période triennale de référence , soit entraîné le décès de la victime , soit donné lieu à la notification d' un taux d' incapacité permanente , par le coût moyen de la catégorie dans laquelle est rattaché chaque accident ou maladie .
AUX MOTIFS QU' en l' espèce , le coeur du problème consiste à;savoir;"si les accidents du travail mortels pris en compte pour déterminer la valeur du risque , dans le cadre des opérations de tarification , sont ceux qui ont entraîné le décès de la victime au cours de la période de référence ou bien ceux dont le caractère professionnel a été reconnu au cours de la période de référence ;"
AUX MOTIFS QU' en l' espèce , le coeur du problème consiste à savoir si les accidents du travail mortels pris en compte pour déterminer la valeur du risque , dans le cadre des opérations de tarification , sont ceux qui ont entraîné le décès de la victime au cours de la période de référence ou bien ceux dont le caractère professionnel a été;reconnu;"au cours de la période de référence ;"
qu' à cet égard , l' article D. 242 - 6 - 6 , 2 ° , du code de la sécurité sociale énonce que « la valeur du risque ( );comprend;"( ) le produit du nombre total d' accidents du travail ou de maladies professionnelles ayant , pendant la période triennale de référence , soit entraîné le décès de fa victime , soit donné lieu à la notification d' un taux d' incapacité permanente ( ) » ;"
qu' ainsi , l' article D. 242 - 6 - 4 du code de la sécurité sociale , certes non applicable à la présente espèce puisqu' il traite du taux brut collectif , prévoit que « seules sont prises en compte dans la valeur du risque les dépenses liées aux accidents et aux maladies dont le caractère professionnel a été;reconnu;"» ;"
que , de même , l' article D. 242 - 6 - 5 , également non applicable à la présente espèce puisqu' il traite de la valeur du risque pour le calcul du taux brut collectif , prévoit que la valeur du risque;comprend;"« les capitaux correspondant aux accidents et maladies mortelles dont le caractère professionnel a été reconnu au cours de la ( ... ) période [ triennale de référence ] » ;"
que , de même , l' article D. 242 - 6 - 5 , également non applicable à la présente espèce puisqu' il traite de la valeur du risque pour le calcul du taux brut collectif , prévoit que la valeur du risque comprend « les capitaux correspondant aux accidents et maladies mortelles dont le caractère professionnel a été;reconnu;"au cours de la ( ... ) période [ triennale de référence ] » ;"
qu' il n' est donc pas exclu qu' au-delà de sa forme littérale , l' article D. 242 - 6 - 6 , 2 ° , du code de la sécurité sociale soit affecté d' une imperfection rédactionnelle et que ce soit par un raccourci de langage que ce texte évoque la période triennale de référence pendant laquelle est intervenu le décès de la victime et non pas la période triennale de référence pendant laquelle le caractère professionnel du décès a été;reconnu;";"
qu' il convient également de;remarquer;"qu' une application littérale de l' article D. 242 - 6 - 6 , 2 ° , du code de la sécurité sociale conduirait à faire prendre en compte par les caisses d' assurance retraite et de la santé au travail les décès , avant même qu' ils soient reconnus comme étant d' origine professionnelle ;"
qu' il convient également de remarquer qu' une application littérale de l' article D. 242 - 6 - 6 , 2 ° , du code de la sécurité sociale conduirait à faire prendre en compte par les caisses d' assurance retraite et de la santé au travail les décès , avant même qu' ils soient;reconnus;"comme étant d' origine professionnelle ;"
ALORS , 1 ° ) , QUE la valeur du risque pour le calcul du taux brut individuel des cotisations d' accidents du travail et de maladies professionnelles;comprend;", notamment , le produit du nombre total d' accidents du travail ou de maladies professionnelles ayant , pendant la période triennale de référence , soit entraîné le décès de la victime , soit donné lieu à la notification d' un taux d' incapacité permanente , par le coût moyen de la catégorie dans laquelle est rattaché chaque accident ou chaque maladie ;"
qu' en considérant que l' accident mortel dont a été victime M. [ C ] devait être pris en compte dans la valeur du risque servant de base au calcul du taux de cotisations de l' employeur pour l' exercice 2014 , dans la mesure où son caractère professionnel avait été;reconnu;"le 5 janvier 2010 , soit pendant la période triennale de référence courant du 1er janvier 2010 au 31 décembre 2013 , quand ne sont pris en compte dans la détermination de la valeur du risque que les accidents du travail ou maladies professionnelles ayant entraîné le décès de la victime durant la période triennale de référence , ce dont il résultait que devait en être exclu l' accident mortel litigieux survenu le 9 octobre 2009 , la Cour nationale a violé les articles D. 242 - 6 - 4 , alinéa 2 , et D. 242 - 6 - 6 , alinéa 1er , 2 ° , du code de la sécurité sociale ;"
