camp-annot-presupp_IJ.xml,camp-annot-presupp_SP.xml,camp-annot-presupp_CB.xml,Nombre d'accords observés,Nombre d'accords attendus en cas de concordance due au hasard,Coefficient kappa
1,0,1,,,
0,0,0,,,
1,1,0,,,
1,1,1,,,
1,1,1,,,
0,0,1,,,
1,1,1,,,
1,1,0,,,
0,0,1,,,
0,0,1,,,
0,0,1,,,
0,0,1,,,
0,0,0,,,
1,1,1,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
1,1,0,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0,0,1,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0,0,1,,,
0,0,0,,,
0,0,0,,,
1,0,1,,,
1,1,0,,,
1,1,0,,,
0,0,1,,,
0,0,1,,,
0,0,0,,,
1,1,1,,,
1,1,0,,,
1,1,0,,,
0,0,0,,,
0,0,0,,,
0,1,0,,,
0,0,0,,,
0,0,0,,,
0,0,1,,,
0,0,0,,,
0,0,1,,,
1,0,1,,,
0,0,1,,,
0,0,0,,,
0,0,0,,,
1,1,1,,,
1,1,0,,,
1,1,0,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0,0,1,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
1,1,1,,,
1,0,0,,,
0,0,0,,,
1,0,1,,,
0,0,1,,,
0,0,0,,,
0,0,0,,,
0,0,1,,,
0,1,0,,,
0,0,1,,,
1,0,0,,,
0,1,0,,,
1,1,1,,,
1,1,0,,,
1,1,1,,,
0,0,0,,,
1,1,1,,,
0,0,0,,,
1,1,0,,,
0,0,0,,,
1,1,0,,,
0,0,0,,,
1,1,0,,,
1,1,0,,,
1,0,0,,,
1,0,0,,,
1,0,0,,,
1,0,0,,,
1,0,1,,,
1,0,1,,,
1,0,0,,,
1,0,1,,,
1,0,0,,,
1,1,0,,,
0,0,0,,,
0,0,1,,,
0,0,1,,,
1,1,1,,,
1,0,1,,,
1,0,1,,,
0,0,0,,,
1,1,1,,,
1,1,1,,,
1,1,1,,,
,,,59.0,37.33333333333333,0.29017857142857145
